company,sector,status,tahun_lk,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22
APLN,properties & real estates,alive,2019,1.66,0.91,1.06,0.56,2.3,-0.03,-0.09,0.52,0.35,0.03,-1.29,-0.25,-0.38,0.13,0.5,1.16,-0.45,195.85,487.92,-393.33,0.9,0.36
APLN,properties & real estates,alive,2020,1.9,0.7,1.18,0.63,2.68,-0.45,-1.6,0.44,0.19,0.04,12.4,0.31,0.49,0.17,0.5,0.9,-6.03,218.35,376.43,-31.18,0.86,0.5
APLN,properties & real estates,alive,2021,1.63,0.57,1.3,0.64,2.81,-2.2,-8.32,0.34,0.1,-0.11,3.75,-0.14,-3.69,0.14,0.37,0.92,-28.65,187.51,344.24,-4.26,0.65,0.35
APLN,properties & real estates,alive,2022,1.96,0.71,0.88,0.56,2.3,6.97,20.76,0.56,0.35,0.26,-4.07,1.04,-5.68,0.3,0.51,1.57,87.88,381.68,423.42,1.75,0.4,0.36
APLN,properties & real estates,alive,2023,1.3,0.43,0.7,0.53,2.11,3.82,10.12,0.42,0.4,0.25,-0.46,-0.46,-0.49,0.16,0.37,1.82,47.7,206.03,471.21,2.7,0.63,0.27
ARGO,consumer cyclicals,alive,2015,0.29,0.1,-3.52,1.24,-4.12,-9.38,38.62,-0.11,-0.18,-0.28,-0.63,-0.57,-0.65,0.34,2.99,-0.83,-502.51,0.13,-1301.01,-1.79,0.5,-0.69
ARGO,consumer cyclicals,alive,2016,0.31,0.1,-2.32,1.49,-2.04,-21.93,44.69,-0.03,-0.48,-0.53,1.03,0.08,1.04,0.39,2.91,-0.79,-1019.88,0.15,-2281.98,-0.88,0.47,-0.39
ARGO,consumer cyclicals,alive,2017,0.18,0.04,-1.55,1.73,-1.36,-14.92,20.32,-0.06,-0.22,-0.45,-0.42,-0.32,-0.42,0.31,2.02,-0.37,-593.18,0.1,-2918.93,-1.39,0.62,-0.28
ARGO,consumer cyclicals,alive,2018,0.12,0.03,-1.4,1.91,-1.1,-9.12,10.06,-0.09,-0.28,-0.26,-0.41,-0.07,-0.45,0.34,2.65,-0.31,-347.65,0.09,-3455.62,-2.37,0.63,-0.24
ARGO,consumer cyclicals,alive,2019,0.1,0.03,-1.33,2.02,-0.98,-8.71,8.55,0.03,-0.15,-0.38,-0.12,-0.37,-0.11,0.22,2.02,-0.19,-306.78,0.06,-3588.91,-2.69,1.01,-0.23
ARGO,consumer cyclicals,alive,2020,0.06,0.01,-0.49,2.15,-0.87,-6.59,5.74,-0.16,-1.01,-1.27,-0.28,-0.79,-0.3,0.05,0.69,-0.03,-221.98,0.01,-3867.0,-8.81,11.21,-0.51
ARGO,consumer cyclicals,alive,2021,0.08,0.04,-0.49,2.18,-0.85,-2.53,2.14,-0.38,-0.18,-0.41,-0.62,0.21,-0.61,0.06,1.27,-0.04,-84.89,0.01,-3962.6,-19.38,7.92,-0.42
ARGO,consumer cyclicals,alive,2022,0.08,0.04,-0.4,2.22,-0.82,-8.62,7.04,-0.19,-0.05,-1.29,2.42,15503.17,48897.06,0.07,1.38,-0.05,-290.05,224.95,-4119.59,-4.22,5.45,-0.3
ARGO,consumer cyclicals,alive,2023,0.37,0.26,4.45,0.88,8.36,-4.75,-39.68,0.12,0.02,-0.5,-0.94,0.37,-0.47,0.09,1.55,-0.34,-16.32,32.49,41.13,-58.82,29.55,23.34
ARII,energy,alive,2014,0.33,0.31,0.84,0.68,3.16,-6.26,-18.92,-0.24,-0.55,-0.64,1.03,-0.66,1.32,0.12,7.07,-0.39,-88.0,0.01,465.16,-5.09,2.81,0.96
ARII,energy,alive,2015,0.2,0.17,1.16,0.77,4.29,-6.94,-27.85,-0.27,-0.69,-0.91,0.27,-0.26,0.05,0.08,7.86,-0.18,-112.16,0.01,402.75,-3.57,3.16,0.99
ARII,energy,alive,2016,0.18,0.16,1.61,0.83,5.87,-7.33,-38.48,-0.8,-1.54,-2.19,-0.03,-0.59,-0.02,0.03,4.38,-0.07,-108.37,0.0,281.63,-4.8,10.07,1.85
ARII,energy,alive,2017,0.22,0.19,2.13,0.88,8.22,-4.69,-32.22,-0.01,-0.2,-0.58,-0.36,1.47,-0.34,0.09,7.51,-0.2,-69.23,0.01,214.9,-14.16,7.65,4.56
ARII,energy,alive,2018,0.23,0.21,6.86,0.97,35.06,-7.96,-176.41,0.05,-0.19,-0.74,0.94,0.33,0.69,0.11,6.94,-0.21,-134.45,0.01,76.21,-6.69,4.97,11.81
ARII,energy,alive,2019,0.24,0.22,2.27,0.87,7.9,-0.96,-7.8,0.0,-0.12,-0.09,-0.88,0.65,-0.8,0.18,9.71,-0.32,-16.27,0.02,208.63,-43.33,2.38,3.38
ARII,energy,alive,2020,0.21,0.19,3.34,0.92,12.79,-3.99,-47.87,-0.13,-0.24,-0.39,3.16,-0.33,1.96,0.12,8.64,-0.19,-67.76,0.01,141.56,-5.84,1.93,2.8
ARII,energy,alive,2021,0.44,0.4,2.66,0.89,9.45,-0.13,-1.21,0.19,0.13,0.01,-0.97,1.74,-1.06,0.32,16.06,-1.23,-2.18,0.04,180.55,-114.68,0.47,1.38
ARII,energy,alive,2022,0.72,0.65,1.5,0.84,6.39,4.75,31.78,0.23,0.18,0.11,-45.42,1.13,27.4,0.6,17.32,-4.19,96.83,0.07,304.65,3.06,0.28,0.97
ARII,energy,alive,2023,0.7,0.6,1.47,0.87,7.43,-0.18,-1.42,0.09,0.03,0.0,-1.04,0.14,-0.97,0.57,11.64,-3.0,-4.24,0.08,297.75,-51.42,0.17,0.73
ARNA,industrials,alive,2015,1.02,0.85,0.24,0.37,1.6,4.88,7.93,0.22,0.08,0.06,-0.73,-0.2,-0.73,0.96,14.12,125.19,9.51,175.98,119.93,52.58,2.84,4.17
ARNA,industrials,alive,2016,1.35,1.0,0.23,0.39,1.63,5.86,9.69,0.22,0.09,0.06,0.3,0.17,0.28,1.02,9.38,9.09,12.32,205.95,127.14,42.21,2.52,4.09
ARNA,industrials,alive,2017,1.63,1.3,0.13,0.36,1.56,7.55,11.92,0.23,0.11,0.07,0.34,0.15,0.34,1.1,8.34,6.08,16.46,236.06,138.07,20.78,1.45,2.48
ARNA,industrials,alive,2018,1.74,1.48,0.09,0.34,1.51,9.48,14.51,0.24,0.11,0.08,0.3,0.14,0.29,1.21,10.95,5.62,21.33,268.54,147.04,19.69,1.56,2.86
ARTA,consumer cyclicals,alive,2015,5.81,5.68,0.0,0.17,1.2,0.43,0.89,0.62,-0.01,0.02,-0.77,-0.14,-0.87,0.22,24.45,1.74,3.49,178.63,392.44,109.17,2.13,0.97
ARTA,consumer cyclicals,alive,2016,6.02,5.83,0.0,0.17,1.2,0.63,1.32,0.63,0.03,0.06,0.49,0.04,2.1,0.23,21.11,1.95,5.21,185.11,395.62,53.74,1.51,0.71
ARTA,consumer cyclicals,alive,2017,6.94,6.81,0.0,0.17,1.21,1.6,3.36,0.69,0.1,0.13,1.64,0.07,1.52,0.24,18.55,1.35,13.77,197.65,410.08,28.03,1.95,0.94
ARTA,consumer cyclicals,alive,2018,6.42,6.31,0.0,0.15,1.17,1.48,3.29,0.69,0.04,0.09,0.04,-0.01,-0.35,0.21,22.62,1.71,14.27,195.76,434.25,91.8,6.69,3.02
ARTA,consumer cyclicals,alive,2019,6.53,6.45,0.0,0.15,1.18,0.56,1.25,0.69,-0.04,0.01,-0.61,-0.02,-0.92,0.2,26.44,1.29,5.55,191.92,442.78,81.08,2.34,1.02
ARTA,consumer cyclicals,alive,2020,8.1,8.04,0.0,0.13,1.15,-1.26,-2.66,0.62,-0.34,-0.34,-3.0,-0.62,-18.83,0.08,15.13,0.45,-11.1,73.73,416.78,-23.06,3.47,0.61
ARTA,consumer cyclicals,alive,2021,7.72,7.65,0.0,0.14,1.16,-0.57,-1.17,0.81,-0.51,-0.31,-0.56,0.23,0.12,0.1,10.37,0.56,-4.85,90.63,413.05,-494.85,26.48,5.81
ARTA,consumer cyclicals,alive,2022,13.06,12.93,0.0,0.04,1.04,0.41,0.73,0.77,-0.16,-0.01,-1.68,0.43,-0.98,0.16,16.82,0.81,3.28,129.5,451.3,823.17,20.85,5.98
ARTA,consumer cyclicals,alive,2023,2.9,2.81,0.0,0.05,1.07,0.48,0.87,0.67,-0.01,0.03,-0.06,0.34,-8.82,0.24,28.86,3.77,3.09,174.06,355.47,970.87,17.24,8.44
